Date,Close,High,Low,Open,Volume,daily_return,log_return,ma_7,price_ma_ratio,high_low_ratio,ma_14,ma_30,ma_crossover,volatility_7,volatility_14,day_of_week,month,quarter,is_monday,is_friday,volume_ma_7,volume_ratio,target
2021-07-28,1398.433349609375,1400.1752945157943,1380.9268245638375,1397.9978633827702,4686788.0,,,,,1.013938805163001,,,0,,,2,7,3,0,0,,,1
2021-07-29,1408.362548828125,1410.9754663584183,1393.643092143495,1393.643092143495,4660873.0,0.7100230569818455,0.007075142616249499,,,1.012436738152424,,,0,,,3,7,3,0,0,,,0
2021-07-30,1402.701416015625,1413.9369841697644,1398.9127063515282,1402.265929702053,6234257.0,-0.40196558884717515,-0.004027756420055977,,,1.010739968083799,,,0,,,4,7,3,0,1,,,1
2021-08-02,1421.0352783203125,1423.8223478971256,1410.278682485059,1417.4642058801662,5553389.0,1.3070395520641043,0.012985714975122107,,,1.0096035383504494,,,0,,,0,8,3,1,0,,,1
2021-08-03,1441.6336669921875,1444.638585966481,1424.562626930286,1434.4917348838053,5513668.0,1.4495339409323238,0.01439128629518421,,,1.0140927177624024,,,0,,,1,8,3,0,0,,,0
2021-08-04,1436.4515380859375,1463.14686912244,1427.5676602328276,1453.740322661586,6740391.0,-0.35946225625140826,-0.0036010987424704736,,,1.0249229580360553,,,0,,,2,8,3,0,0,,,1
2021-08-05,1440.1966552734375,1451.0402206367958,1434.5353338843984,1436.6691740338504,5420536.0,0.260720051334995,0.0026038076620411668,1421.2592075892858,1.0133244151264096,1.0115053887921366,,,0,,,3,8,3,0,0,5544271.714285715,0.9776822420216366,0
2021-08-06,1437.2789306640625,1446.3806580542653,1431.8789431145815,1443.2015868253418,3754855.0,-0.20259209731472438,-0.0020279759269603926,1426.8085763113838,1.0073383034882974,1.0101277520766805,,,0,0.7770255202112257,,4,8,3,0,1,5411138.428571428,0.6939122052716185,1
2021-08-09,1448.688720703125,1452.3031718189327,1433.9692629808042,1446.6854412607183,5018477.0,0.7938466080338991,0.007907122230601879,1432.5694580078125,1.0112519938249476,1.012785426655532,,,0,0.7833143333839346,,0,8,3,1,0,5462224.714285715,0.9187606263936465,1
2021-08-10,1460.8385009765625,1463.2336751471903,1446.7287902084508,1452.782006038996,6846517.0,0.8386743197351887,0.008351769872099431,1440.874755859375,1.013855295219799,1.011408416733285,,,0,0.70642148399618,,1,8,3,0,0,5549690.428571428,1.2336754794019014,1
2021-08-11,1461.0999755859375,1466.7177057432823,1452.7821455937024,1458.7048011852285,4899639.0,0.01789894017718563,0.00017897338508006652,1446.5982840401787,1.0100246846037018,1.0095923261390887,,,0,0.6524788385849071,,2,8,3,0,0,5456297.571428572,0.8979786999991595,1
2021-08-12,1471.5950927734375,1477.6048241977232,1458.0079432401938,1462.4934728122273,5659579.0,0.7183024681997718,0.00715734963654818,1450.8784877232142,1.0142786630482976,1.0134408602150538,,,0,0.4962346087623835,,3,8,3,0,0,5477142.0,1.033308794988335,1
