Date,Close,High,Low,Open,Volume,daily_return,log_return,ma_7,price_ma_ratio,high_low_ratio,ma_14,ma_30,ma_crossover,volatility_7,volatility_14,day_of_week,month,quarter,is_monday,is_friday,volume_ma_7,volume_ratio,target
2021-07-28,52443.7109375,52673.69140625,51802.73046875,52673.69140625,8000.0,,,,,1.0168130314680113,,,0,,,2,7,3,0,0,,,1
2021-07-29,52653.0703125,52777.1796875,52561.390625,52693.53125,8800.0,0.3992077815574646,0.003984130616468728,,,1.0041054671486824,,,0,,,3,7,3,0,0,,,0
2021-07-30,52586.83984375,52910.23046875,52533.91015625,52792.359375,9900.0,-0.125786527465388,-0.001258657051213608,,,1.0071633790704084,,,0,,,4,7,3,0,1,,,1
2021-08-02,52950.62890625,52986.76953125,52804.078125,52901.28125,7900.0,0.6917872676527326,0.006894053982045535,,,1.0034597972872006,,,0,,,0,8,3,1,0,,,1
2021-08-03,53823.359375,53887.98046875,53088.3515625,53125.96875,8100.0,1.6481966064939124,0.01634761272371175,,,1.0150622289582416,,,0,,,1,8,3,0,0,,,1
2021-08-04,54369.76953125,54465.91015625,54034.30859375,54071.21875,14600.0,1.0151914755878177,0.01010073019200483,,,1.007987546685291,,,0,,,2,8,3,0,0,,,1
2021-08-05,54492.83984375,54717.23828125,54230.890625,54576.640625,15300.0,0.2263579808431393,0.0022610217711439115,53331.45982142857,1.0217766403959336,1.0089680927354308,,,0,,,3,8,3,0,0,10371.42857142857,1.475206611570248,0
2021-08-06,54277.71875,54633.578125,54210.328125,54492.171875,7200.0,-0.3947694676343261,-0.003955507391225855,53593.4609375,1.0127675615743117,1.0078075528158408,,,0,0.6949333065278065,,4,8,3,0,1,10257.142857142857,0.701949860724234,1
2021-08-09,54402.8515625,54584.73046875,54124.26953125,54385.7109375,11500.0,0.23054176811732052,0.002302764283175458,53843.4296875,1.0103897890280542,1.0085074762484165,,,0,0.7016717831732688,,0,8,3,1,0,10642.857142857143,1.0805369127516777,1
2021-08-10,54554.66015625,54779.66015625,54308.76953125,54461.30859375,8700.0,0.27904528786619753,0.0027865667926426523,54124.546875,1.0079467322330355,1.0086706185587402,,,0,0.659794597970536,,1,8,3,0,0,10471.42857142857,0.8308321964529332,0
2021-08-11,54525.9296875,54758.73828125,54167.19921875,54730.6484375,6500.0,-0.05266363802416407,-0.0005267751018861856,54349.58984375,1.0032445478292837,1.0109206137853115,,,0,0.6883821190484563,,2,8,3,0,0,10271.42857142857,0.6328233657858137,1
2021-08-12,54843.98046875,54874.1015625,54536.6484375,54641.21875,9300.0,0.5833018952135616,0.0058160727634479275,54495.392857142855,1.0063966437038256,1.0061876395904072,,,0,0.44777985573143597,,3,8,3,0,0,10442.857142857143,0.8905608755129959,1
2021-08-13,55437.2890625,55487.7890625,54905.48828125,54911.94921875,14100.0,1.0818116932414634,0.01076001973140589,54647.89564732143,1.0144450834900038,1.0106055113883552,,,0,0.4665818347500174,,4,8,3,0,1,10371.42857142857,1.359504132231405,1
2021-08-16,55582.578125,55680.75,55281.01953125,55479.73828125,6000.0,0.26207822380384105,0.0026173539767799354,54803.572544642855,1.014214503620591,1.007230880908845,54067.51618303572,,0,0.46610409334292163,,0,8,3,1,0,9042.857142857143,0.6635071090047393,1
2021-08-17,55792.26953125,55854.87890625,55386.48828125,55565.640625,6800.0,0.3772610291275402,0.0037655118445843712,55019.93694196428,1.0140373223273662,1.0084567669757565,54306.698939732145,,0,0.3573149025649443,0.5333867429212086,1,8,3,0,0,8985.714285714286,0.7567567567567567,0
2021-08-18,55629.48828125,56118.5703125,55514.890625,56073.30859375,16100.0,-0.2917630907787738,-0.0029218954898490176,55195.17075892857,1.0078687594648155,1.0108741939451493,54519.30022321428,,0,0.4418008852417199,0.5686898211225953,2,8,3,0,0,9642.857142857143,1.6696296296296296,0
2021-08-20,55329.3203125,55543.16015625,55013.98046875,55159.12890625,6800.0,-0.5395842709039811,-0.005410452848018325,55305.83649553572,1.0004246173361138,1.0096190038057797,54715.191685267855,,0,0.5496032558695193,0.6072851890793183,4,8,3,0,1,9371.42857142857,0.7256097560975611,1
2021-08-23,55555.7890625,55781.171875,55240.2890625,55695.83984375,7500.0,0.4093105585264878,0.004084751616624083,55452.959263392855,1.0018543608938653,1.0097914551440532,54901.27455357143,,0,0.5414744781103952,0.6002619316706015,0,8,3,1,0,9514.285714285714,0.7882882882882883,1
2021-08-24,55958.98046875,56023.21875,55536.83984375,55647.109375,7600.0,0.7257414808678364,0.0072312065004753855,55612.24497767857,1.006234876711246,1.0087577706549093,55053.81891741072,,0,0.5576916850636608,0.4859976436509883,1,8,3,0,0,9271.42857142857,0.8197226502311249,0
